Family,Species,Common.name,Biogeographical.affinity,Reproductive.mode,Lmax..cm.,Trophic.guild,Trophic.level,Habitat..Horizontal.,Habitat..vertical.,Source
Clupeidae,Alosa fallax,Twaite shad,Lusitanian,Fluvial spawner,50,Planktivore,3.6,Shelf,Pelagic,Yang (1982a)
Clupeidae,Clupea harengus,Herring,Boreal,Demersal eggs,40,Planktivore,3.2,Shelf,Benthopelagic,Yang (1982a)
Clupeidae,Sardina pilchardus,Pilchard,Lusitanian,Planktonic eggs,25,Planktivore,2.6,Shelf,Pelagic,Yang (1982a)
Clupeidae,Sprattus sprattus,Sprat,Lusitanian,Planktonic eggs,16,Planktivore,3,Shelf,Pelagic,Yang (1982a)
Engraulidae,Engraulis encrasicolus,European anchovy,Lusitanian,Planktonic eggs,20,Planktivore,3.1,Shelf,Pelagic,Yang (1982a)
Argentinidae,Argentina silus,Great silver smelt,Boreal,Planktonic eggs,60,Planktivore,3.3,Slope,Benthopelagic,Yang (1982a)
Argentinidae,Argentina sphyraena,Lesser silver smelt,Lusitanian,Planktonic eggs,32,Planktivore,3.6,Shelf,Benthopelagic,Yang (1982a)
Osmeridae,Osmerus eperlanus,Smelt,Boreal,Demersal eggs,45,Benthivore,3.1,Coastal,Pelagic,Yang (1982a)
Osmeridae,Mallotus villosus,Capelin,Boreal,Demersal eggs,22,Planktivore,3.1,Inner shelf,Pelagic,Yang (1982a)
Salmonidae,Coregonus oxyrinchus,Houting,Boreal,Fluvial spawner,57,Planktivore,3.3,Coastal,Demersal,Yang (1982a)
Salmonidae,Salmo salar,Atlantic salmon,Atlantic,Fluvial spawner,150,Piscivore,4.4,Inner shelf,Pelagic,Yang (1982a)
Salmonidae,Salmo trutta,Trout,Boreal,Fluvial spawner,140,Piscivore,3.2,Inner shelf,Pelagic,Yang (1982a)
Salmonidae,Salvelinus alpinus,Charr,Boreal,Fluvial spawner,88,Piscivore,4.3,Coastal,Benthopelagic,Yang (1982a)
Sternoptychidae,Argyropelecus olfersi,Hatchet fish,Atlantic,Planktonic eggs,7,Planktivore,3.4,Slope,Bathypelagic,Yang (1982a)
Sternoptychidae,Maurolicus muelleri,Pearlside,Atlantic,Planktonic eggs,7,Planktivore,3,Slope,Bathypelagic,Yang (1982a)
Myctophidae,Myctophum punctatum,Spotted lanternfish,Atlantic,Planktonic eggs,11,Planktivore,3.4,Slope,Bathypelagic,FishBase
